col1,col2
103,900
436,734
861,485
271,407
107,231
72,749
701,655
21,171
615,541
122,36
467,525
215,160
331,839
459,699
88,243
373,86
100,796
872,578
664,682
131,557
662,574
309,953
770,646
344,796
492,28
414,620
806,556
386,340
192,798
956,958
277,331
161,640
460,506
314,348
22,473
253,231
748,190
857,225
561,385
475,377
59,283
511,958
682,633
476,628
700,973
976,745
783,259
190,359
958,710
687,456
958,411
563,649
876,318
567,677
244,225
832,819
505,234
131,684
485,664
819,975
647,827
21,374
841,672
167,608
274,472
388,233
601,692
316,113
14,830
242,497
777,442
346,564
565,268
898,510
340,807
92,386
367,387
956,113
455,613
428,625
509,952
776,81
943,699
35,113
206,2
81,642
932,220
562,566
872,855
388,997
2,736
390,225
566,385
106,403
772,638
822,130
477,53
703,684
402,730
730,672
556,710
162,416
202,247
958,836
996,439
270,203
863,184
816,123
271,401
456,767
462,294
727,280
252,837
702,884
296,610
725,198
720,982
749,907
338,511
879,752
53,144
792,609
922,201
217,124
764,187
188,326
380,464
493,349
41,771
157,660
15,764
813,955
65,932
857,403
839,346
521,963
344,511
129,147
648,148
472,864
63,711
139,820
499,489
593,929
392,936
675,640
419,551
289,338
379,872
773,641
490,779
231,988
41,953
28,473
135,946
201,151
840,415
780,990
930,298
33,611
48,263
503,764
407,144
574,346
728,624
805,572
99,881
684,2
872,897
726,304
987,254
547,652
961,453
739,37
613,160
943,9
462,233
643,99
769,659
5,816
218,208
503,131
767,404
398,152
871,54
795,120
393,673
207,920
15,628
858,587
554,625
892,968
461,420
691,422
575,104
864,852
743,254
241,227
564,112
96,510
